"filename","DGPid","trueATE"
"high1095",1,0.2
"high1096",8,-1.432
"high1097",9,12.62
"high1098",15,-0.16058
"high1099",16,1
"high11",2,0.8
"high110",1,0.2
"high1100",8,-1.432
"high1101",6,-1.1039
"high1102",11,10.77
"high1103",2,0.8
"high1104",6,-1.1039
"high1105",4,2.1
"high1106",1,0.2
"high1107",9,12.62
"high1108",14,61.11
"high1109",12,-3.159
"high111",12,-3.159
"high1110",13,-0.8486
"high1111",16,1
"high1112",15,-0.16058
"high1113",9,12.62
"high1114",16,1
"high1115",2,0.8
"high1116",4,2.1
"high1117",9,12.62
"high1118",8,-1.432
"high1119",12,-3.159
"high112",5,-0.3429
"high1120",12,-3.159
"high1121",2,0.8
"high1122",12,-3.159
"high1123",2,0.8
"high1124",3,-0.800000000000001
"high1125",7,0
"high1126",7,0
"high1127",10,9.134
"high1128",13,-0.8486
"high1129",3,-0.800000000000001
"high113",13,-0.8486
"high1130",7,0
"high1131",13,-0.8486
"high1132",9,12.62
"high1133",1,0.2
"high1134",2,0.8
"high1135",5,-0.3429
"high1136",2,0.8
"high1137",9,12.62
"high1138",10,9.134
"high1139",9,12.62
"high114",4,2.1
"high1140",10,9.134
"high1141",13,-0.8486
"high1142",15,-0.16058
"high1143",11,10.77
"high1144",5,-0.3429
"high1145",2,0.8
"high1146",9,12.62
"high1147",4,2.1
"high1148",16,1
"high1149",12,-3.159
"high115",12,-3.159
"high1150",1,0.2
"high1151",6,-1.1039
"high1152",10,9.134
"high1153",14,61.11
"high1154",15,-0.16058
"high1155",13,-0.8486
"high1156",9,12.62
"high1157",13,-0.8486
"high1158",7,0
"high1159",2,0.8
"high116",4,2.1
"high1160",15,-0.16058
"high1161",6,-1.1039
"high1162",6,-1.1039
"high1163",8,-1.432
"high1164",9,12.62
"high1165",12,-3.159
"high1166",15,-0.16058
"high1167",11,10.77
"high1168",12,-3.159
"high1169",13,-0.8486
"high117",15,-0.16058
"high1170",13,-0.8486
"high1171",8,-1.432
"high1172",4,2.1
"high1173",9,12.62
"high1174",15,-0.16058
"high1175",11,10.77
"high1176",14,61.11
"high1177",8,-1.432
"high1178",10,9.134
"high1179",4,2.1
"high118",5,-0.3429
"high1180",2,0.8
"high1181",2,0.8
"high1182",12,-3.159
"high1183",16,1
"high1184",15,-0.16058
"high1185",9,12.62
"high1186",3,-0.800000000000001
"high1187",12,-3.159
"high1188",7,0
"high1189",11,10.77
"high119",15,-0.16058
"high1190",5,-0.3429
"high1191",16,1
"high1192",8,-1.432
"high1193",6,-1.1039
"high1194",16,1
"high1195",4,2.1
"high1196",3,-0.800000000000001
"high1197",15,-0.16058
"high1198",11,10.77
"high1199",6,-1.1039
"high12",4,2.1
"high120",1,0.2
"high1200",14,61.11
"high1201",6,-1.1039
"high1202",4,2.1
"high1203",12,-3.159
"high1204",6,-1.1039
"high1205",16,1
"high1206",7,0
"high1207",16,1
"high1208",13,-0.8486
"high1209",12,-3.159
"high121",9,12.62
"high1210",7,0
"high1211",10,9.134
"high1212",9,12.62
"high1213",15,-0.16058
"high1214",13,-0.8486
"high1215",12,-3.159
"high1216",2,0.8
"high1217",15,-0.16058
"high1218",8,-1.432
"high1219",3,-0.800000000000001
"high122",5,-0.3429
"high1220",10,9.134
"high1221",13,-0.8486
"high1222",16,1
"high1223",7,0
"high1224",1,0.2
"high1225",9,12.62
"high1226",14,61.11
"high1227",7,0
"high1228",12,-3.159
"high1229",9,12.62
"high123",1,0.2
"high1230",5,-0.3429
"high1231",12,-3.159
"high1232",16,1
"high1233",2,0.8
"high1234",15,-0.16058
"high1235",7,0
"high1236",6,-1.1039
"high1237",7,0
"high1238",9,12.62
"high1239",15,-0.16058
"high124",8,-1.432
"high1240",7,0
"high1241",2,0.8
"high1242",3,-0.800000000000001
"high1243",11,10.77
"high1244",14,61.11
"high1245",15,-0.16058
"high1246",6,-1.1039
"high1247",12,-3.159
"high1248",10,9.134
"high1249",16,1
"high125",10,9.134
"high1250",12,-3.159
"high1251",14,61.11
"high1252",10,9.134
"high1253",10,9.134
"high1254",16,1
"high1255",7,0
"high1256",6,-1.1039
"high1257",6,-1.1039
"high1258",13,-0.8486
"high1259",5,-0.3429
"high126",13,-0.8486
"high1260",7,0
"high1261",8,-1.432
"high1262",1,0.2
"high1263",5,-0.3429
"high1264",10,9.134
"high1265",8,-1.432
"high1266",12,-3.159
"high1267",1,0.2
"high1268",14,61.11
"high1269",3,-0.800000000000001
"high127",9,12.62
"high1270",6,-1.1039
"high1271",6,-1.1039
"high1272",14,61.11
"high1273",8,-1.432
"high1274",9,12.62
"high1275",16,1
"high1276",1,0.2
"high1277",7,0
"high1278",6,-1.1039
"high1279",15,-0.16058
"high128",8,-1.432
"high1280",12,-3.159
"high1281",7,0
"high1282",4,2.1
"high1283",1,0.2
"high1284",2,0.8
"high1285",16,1
"high1286",16,1
"high1287",7,0
"high1288",7,0
"high1289",5,-0.3429
"high129",7,0
"high1290",7,0
"high1291",11,10.77
"high1292",4,2.1
"high1293",10,9.134
"high1294",1,0.2
"high1295",1,0.2
"high1296",16,1
"high1297",5,-0.3429
"high1298",1,0.2
"high1299",11,10.77
"high13",3,-0.800000000000001
"high130",5,-0.3429
"high1300",15,-0.16058
"high1301",4,2.1
"high1302",11,10.77
"high1303",13,-0.8486
"high1304",9,12.62
"high1305",11,10.77
"high1306",3,-0.800000000000001
"high1307",2,0.8
"high1308",16,1
"high1309",13,-0.8486
"high131",4,2.1
"high1310",11,10.77
"high1311",4,2.1
"high1312",15,-0.16058
"high1313",16,1
"high1314",4,2.1
"high1315",2,0.8
"high1316",1,0.2
"high1317",5,-0.3429
"high1318",3,-0.800000000000001
"high1319",12,-3.159
"high132",15,-0.16058
"high1320",14,61.11
"high1321",1,0.2
"high1322",6,-1.1039
"high1323",12,-3.159
"high1324",9,12.62
"high1325",6,-1.1039
"high1326",6,-1.1039
"high1327",5,-0.3429
"high1328",10,9.134
"high1329",11,10.77
"high133",13,-0.8486
"high1330",11,10.77
"high1331",10,9.134
"high1332",4,2.1
"high1333",8,-1.432
"high1334",3,-0.800000000000001
"high1335",10,9.134
"high1336",14,61.11
"high1337",7,0
"high1338",8,-1.432
"high1339",4,2.1
"high134",13,-0.8486
"high1340",10,9.134
"high1341",6,-1.1039
"high1342",8,-1.432
"high1343",11,10.77
"high1344",10,9.134
"high1345",11,10.77
"high1346",14,61.11
"high1347",8,-1.432
"high1348",11,10.77
"high1349",14,61.11
"high135",16,1
"high1350",5,-0.3429
"high1351",13,-0.8486
"high1352",4,2.1
"high1353",7,0
"high1354",1,0.2
"high1355",16,1
"high1356",14,61.11
"high1357",13,-0.8486
"high1358",3,-0.800000000000001
"high1359",10,9.134
"high136",10,9.134
"high1360",11,10.77
"high1361",9,12.62
"high1362",12,-3.159
"high1363",11,10.77
"high1364",8,-1.432
"high1365",13,-0.8486
"high1366",4,2.1
"high1367",7,0
"high1368",1,0.2
"high1369",4,2.1
"high137",1,0.2
"high1370",10,9.134
"high1371",14,61.11
"high1372",16,1
"high1373",3,-0.800000000000001
"high1374",13,-0.8486
"high1375",10,9.134
"high1376",14,61.11
"high1377",9,12.62
"high1378",3,-0.800000000000001
"high1379",14,61.11
"high138",1,0.2
"high1380",2,0.8
"high1381",6,-1.1039
"high1382",3,-0.800000000000001
"high1383",9,12.62
"high1384",2,0.8
"high1385",1,0.2
"high1386",5,-0.3429
"high1387",14,61.11
"high1388",7,0
"high1389",13,-0.8486
"high139",15,-0.16058
"high1390",1,0.2
"high1391",6,-1.1039
"high1392",16,1
"high1393",10,9.134
"high1394",16,1
"high1395",11,10.77
"high1396",2,0.8
"high1397",11,10.77
"high1398",10,9.134
"high1399",3,-0.800000000000001
"high14",1,0.2
"high140",1,0.2
"high1400",16,1
"high1401",8,-1.432
"high1402",1,0.2
"high1403",6,-1.1039
"high1404",16,1
"high1405",3,-0.800000000000001
"high1406",5,-0.3429
"high1407",15,-0.16058
"high1408",12,-3.159
"high1409",1,0.2
"high141",10,9.134
"high1410",2,0.8
"high1411",15,-0.16058
"high1412",12,-3.159
"high1413",5,-0.3429
"high1414",11,10.77
"high1415",8,-1.432
"high1416",16,1
"high1417",1,0.2
"high1418",4,2.1
"high1419",1,0.2
"high142",4,2.1
"high1420",5,-0.3429
"high1421",1,0.2
"high1422",10,9.134
"high1423",9,12.62
"high1424",13,-0.8486
"high1425",13,-0.8486
"high1426",7,0
"high1427",9,12.62
"high1428",9,12.62
"high1429",16,1
"high143",3,-0.800000000000001
"high1430",9,12.62
"high1431",14,61.11
"high1432",12,-3.159
"high1433",13,-0.8486
"high1434",12,-3.159
"high1435",13,-0.8486
"high1436",15,-0.16058
"high1437",5,-0.3429
"high1438",10,9.134
"high1439",1,0.2
"high144",16,1
"high1440",16,1
"high1441",2,0.8
"high1442",4,2.1
"high1443",12,-3.159
"high1444",15,-0.16058
"high1445",14,61.11
"high1446",9,12.62
"high1447",16,1
"high1448",10,9.134
"high1449",4,2.1
"high145",8,-1.432
"high1450",2,0.8
"high1451",8,-1.432
"high1452",2,0.8
"high1453",16,1
"high1454",4,2.1
"high1455",8,-1.432
"high1456",12,-3.159
"high1457",11,10.77
"high1458",15,-0.16058
"high1459",15,-0.16058
"high146",1,0.2
"high1460",12,-3.159
"high1461",3,-0.800000000000001
"high1462",10,9.134
"high1463",6,-1.1039
"high1464",2,0.8
"high1465",10,9.134
"high1466",5,-0.3429
"high1467",6,-1.1039
"high1468",7,0
"high1469",13,-0.8486
"high147",15,-0.16058
"high1470",14,61.11
"high1471",12,-3.159
"high1472",7,0
"high1473",12,-3.159
"high1474",15,-0.16058
"high1475",5,-0.3429
"high1476",14,61.11
"high1477",2,0.8
"high1478",3,-0.800000000000001
"high1479",2,0.8
"high148",16,1
"high1480",11,10.77
"high1481",10,9.134
"high1482",2,0.8
"high1483",2,0.8
"high1484",11,10.77
"high1485",11,10.77
"high1486",16,1
"high1487",6,-1.1039
"high1488",9,12.62
"high1489",15,-0.16058
"high149",6,-1.1039
"high1490",3,-0.800000000000001
"high1491",13,-0.8486
"high1492",7,0
"high1493",10,9.134
"high1494",13,-0.8486
"high1495",7,0
"high1496",9,12.62
"high1497",5,-0.3429
"high1498",9,12.62
"high1499",14,61.11
"high15",6,-1.1039
"high150",9,12.62
"high1500",15,-0.16058
"high1501",5,-0.3429
"high1502",11,10.77
"high1503",7,0
"high1504",9,12.62
"high1505",10,9.134
"high1506",10,9.134
"high1507",11,10.77
"high1508",11,10.77
"high1509",14,61.11
"high151",8,-1.432
"high1510",8,-1.432
"high1511",5,-0.3429
"high1512",12,-3.159
"high1513",3,-0.800000000000001
"high1514",14,61.11
"high1515",4,2.1
"high1516",1,0.2
"high1517",9,12.62
"high1518",1,0.2
"high1519",5,-0.3429
"high152",15,-0.16058
"high1520",2,0.8
"high1521",10,9.134
"high1522",3,-0.800000000000001
"high1523",14,61.11
"high1524",6,-1.1039
"high1525",4,2.1
"high1526",2,0.8
"high1527",9,12.62
"high1528",14,61.11
"high1529",9,12.62
"high153",15,-0.16058
"high1530",3,-0.800000000000001
"high1531",2,0.8
"high1532",16,1
"high1533",16,1
"high1534",13,-0.8486
"high1535",3,-0.800000000000001
"high1536",12,-3.159
"high1537",5,-0.3429
"high1538",8,-1.432
"high1539",12,-3.159
"high154",4,2.1
"high1540",8,-1.432
"high1541",8,-1.432
"high1542",9,12.62
"high1543",7,0
"high1544",16,1
"high1545",8,-1.432
"high1546",10,9.134
"high1547",5,-0.3429
"high1548",12,-3.159
"high1549",14,61.11
"high155",10,9.134
"high1550",16,1
"high1551",14,61.11
"high1552",15,-0.16058
"high1553",8,-1.432
"high1554",13,-0.8486
"high1555",15,-0.16058
"high1556",7,0
"high1557",14,61.11
"high1558",8,-1.432
"high1559",1,0.2
"high156",1,0.2
"high1560",1,0.2
"high1561",7,0
"high1562",11,10.77
"high1563",11,10.77
"high1564",8,-1.432
"high1565",9,12.62
"high1566",13,-0.8486
"high1567",5,-0.3429
"high1568",5,-0.3429
"high1569",4,2.1
"high157",11,10.77
"high1570",1,0.2
"high1571",5,-0.3429
"high1572",2,0.8
"high1573",8,-1.432
"high1574",12,-3.159
"high1575",12,-3.159
"high1576",11,10.77
"high1577",14,61.11
"high1578",13,-0.8486
"high1579",4,2.1
"high158",12,-3.159
"high1580",4,2.1
"high1581",14,61.11
"high1582",13,-0.8486
"high1583",2,0.8
"high1584",10,9.134
"high1585",7,0
"high1586",1,0.2
"high1587",16,1
"high1588",7,0
"high1589",7,0
"high159",15,-0.16058
"high1590",7,0
"high1591",3,-0.800000000000001
"high1592",8,-1.432
"high1593",6,-1.1039
"high1594",15,-0.16058
"high1595",6,-1.1039
"high1596",10,9.134
"high1597",15,-0.16058
"high1598",11,10.77
"high1599",10,9.134
"high16",16,1
"high160",4,2.1
"high1600",7,0
"high1601",51,0.146353197214364
"high1602",49,0.231331621335453
"high1603",46,0.197006069193618
"high1604",51,0.146353197214364
"high1605",52,0.197006069193618
"high1606",47,0.17121050152692
"high1607",48,0.220975439343995
"high1608",51,0.146353197214364
"high1609",50,0.251199875828373
"high161",2,0.8
"high1610",55,0.687319715863923
"high1611",49,0.231331621335453
"high1612",51,0.146353197214364
"high1613",49,0.231331621335453
"high1614",27,0.260826425527279
"high1615",27,0.260826425527279
"high1616",46,0.197006069193618
"high1617",56,-0.280333082581458
"high1618",28,0.291627383631446
"high1619",48,0.220975439343995
"high162",3,-0.800000000000001
"high1620",49,0.231331621335453
"high1621",25,-0.279808785174019
"high1622",55,0.687319715863923
"high1623",53,0.17121050152692
"high1624",56,-0.280333082581458
"high1625",52,0.197006069193618
"high1626",49,0.231331621335453
"high1627",45,0.146353197214364
"high1628",52,0.197006069193618
"high1629",45,0.146353197214364
"high163",8,-1.432
"high1630",50,0.251199875828373
"high1631",47,0.17121050152692
"high1632",27,0.260826425527279
"high1633",56,-0.280333082581458
"high1634",45,0.146353197214364
"high1635",27,0.260826425527279
"high1636",49,0.231331621335453
"high1637",51,0.146353197214364
"high1638",48,0.220975439343995
"high1639",26,0.216588097389286
"high164",10,9.134
"high1640",26,0.216588097389286
"high1641",45,0.146353197214364
"high1642",54,-0.2502917
"high1643",45,0.146353197214364
"high1644",48,0.220975439343995
"high1645",26,0.216588097389286
"high1646",50,0.251199875828373
"high1647",26,0.216588097389286
"high1648",49,0.231331621335453
"high1649",54,-0.2502917
"high165",11,10.77
"high1650",28,0.291627383631446
"high1651",51,0.146353197214364
"high1652",51,0.146353197214364
"high1653",46,0.197006069193618
"high1654",25,-0.279808785174019
"high1655",46,0.197006069193618
"high1656",53,0.17121050152692
"high1657",27,0.260826425527279
"high1658",56,-0.280333082581458
"high1659",46,0.197006069193618
"high166",4,2.1
"high1660",49,0.231331621335453
"high1661",26,0.216588097389286
"high1662",56,-0.280333082581458
"high1663",55,0.687319715863923
"high1664",50,0.251199875828373
"high1665",47,0.17121050152692
"high1666",46,0.197006069193618
"high1667",28,0.291627383631446
"high1668",50,0.251199875828373
"high1669",49,0.231331621335453
"high167",9,12.62
"high1670",51,0.146353197214364
"high1671",25,-0.279808785174019
"high1672",46,0.197006069193618
"high1673",46,0.197006069193618
"high1674",47,0.17121050152692
"high1675",49,0.231331621335453
"high1676",26,0.216588097389286
"high1677",46,0.197006069193618
"high1678",56,-0.280333082581458
"high1679",28,0.291627383631446
"high168",10,9.134
"high1680",54,-0.2502917
"high1681",56,-0.280333082581458
"high1682",45,0.146353197214364
"high1683",51,0.146353197214364
"high1684",26,0.216588097389286
"high1685",56,-0.280333082581458
"high1686",54,-0.2502917
"high1687",50,0.251199875828373
"high1688",55,0.687319715863923
"high1689",45,0.146353197214364
"high169",6,-1.1039
"high1690",28,0.291627383631446
"high1691",48,0.220975439343995
"high1692",55,0.687319715863923
"high1693",48,0.220975439343995
"high1694",53,0.17121050152692
"high1695",53,0.17121050152692
"high1696",56,-0.280333082581458
"high1697",56,-0.280333082581458
"high1698",54,-0.2502917
"high1699",56,-0.280333082581458
"high17",8,-1.432
"high170",5,-0.3429
"high1700",56,-0.280333082581458
"high1701",45,0.146353197214364
"high1702",52,0.197006069193618
"high1703",26,0.216588097389286
"high1704",46,0.197006069193618
"high1705",56,-0.280333082581458
"high1706",25,-0.279808785174019
"high1707",50,0.251199875828373
"high1708",25,-0.279808785174019
"high1709",45,0.146353197214364
"high171",7,0
"high1710",28,0.291627383631446
"high1711",50,0.251199875828373
"high1712",55,0.687319715863923
"high1713",50,0.251199875828373
"high1714",46,0.197006069193618
"high1715",53,0.17121050152692
"high1716",53,0.17121050152692
"high1717",47,0.17121050152692
"high1718",55,0.687319715863923
"high1719",52,0.197006069193618
"high172",3,-0.800000000000001
"high1720",49,0.231331621335453
"high1721",46,0.197006069193618
"high1722",46,0.197006069193618
"high1723",50,0.251199875828373
"high1724",25,-0.279808785174019
"high1725",46,0.197006069193618
"high1726",26,0.216588097389286
"high1727",27,0.260826425527279
"high1728",52,0.197006069193618
"high1729",55,0.687319715863923
"high173",6,-1.1039
"high1730",52,0.197006069193618
"high1731",26,0.216588097389286
"high1732",52,0.197006069193618
"high1733",28,0.291627383631446
"high1734",25,-0.279808785174019
"high1735",45,0.146353197214364
"high1736",53,0.17121050152692
"high1737",26,0.216588097389286
"high1738",52,0.197006069193618
"high1739",47,0.17121050152692
"high174",14,61.11
"high1740",52,0.197006069193618
"high1741",56,-0.280333082581458
"high1742",54,-0.2502917
"high1743",45,0.146353197214364
"high1744",45,0.146353197214364
"high1745",46,0.197006069193618
"high1746",49,0.231331621335453
"high1747",46,0.197006069193618
"high1748",45,0.146353197214364
"high1749",46,0.197006069193618
"high175",3,-0.800000000000001
"high1750",48,0.220975439343995
"high1751",45,0.146353197214364
"high1752",56,-0.280333082581458
"high1753",54,-0.2502917
"high1754",26,0.216588097389286
"high1755",28,0.291627383631446
"high1756",50,0.251199875828373
"high1757",27,0.260826425527279
"high1758",50,0.251199875828373
"high1759",46,0.197006069193618
"high176",14,61.11
"high1760",53,0.17121050152692
"high1761",45,0.146353197214364
"high1762",50,0.251199875828373
"high1763",50,0.251199875828373
"high1764",53,0.17121050152692
"high1765",45,0.146353197214364
"high1766",46,0.197006069193618
"high1767",49,0.231331621335453
"high1768",56,-0.280333082581458
"high1769",53,0.17121050152692
"high177",9,12.62
"high1770",53,0.17121050152692
"high1771",48,0.220975439343995
"high1772",49,0.231331621335453
"high1773",45,0.146353197214364
"high1774",47,0.17121050152692
"high1775",25,-0.279808785174019
"high1776",28,0.291627383631446
"high1777",53,0.17121050152692
"high1778",49,0.231331621335453
"high1779",49,0.231331621335453
"high178",3,-0.800000000000001
"high1780",54,-0.2502917
"high1781",55,0.687319715863923
"high1782",27,0.260826425527279
"high1783",53,0.17121050152692
"high1784",56,-0.280333082581458
"high1785",54,-0.2502917
"high1786",27,0.260826425527279
"high1787",45,0.146353197214364
"high1788",45,0.146353197214364
"high1789",51,0.146353197214364
"high179",7,0
"high1790",26,0.216588097389286
"high1791",27,0.260826425527279
"high1792",27,0.260826425527279
"high1793",28,0.291627383631446
"high1794",26,0.216588097389286
"high1795",47,0.17121050152692
"high1796",27,0.260826425527279
"high1797",56,-0.280333082581458
"high1798",55,0.687319715863923
"high1799",55,0.687319715863923
"high18",1,0.2
"high180",15,-0.16058
"high1800",55,0.687319715863923
"high1801",50,0.251199875828373
"high1802",50,0.251199875828373
"high1803",51,0.146353197214364
"high1804",46,0.197006069193618
"high1805",47,0.17121050152692
"high1806",48,0.220975439343995
"high1807",52,0.197006069193618
"high1808",45,0.146353197214364
"high1809",50,0.251199875828373
"high181",12,-3.159
"high1810",47,0.17121050152692
"high1811",49,0.231331621335453
"high1812",46,0.197006069193618
"high1813",47,0.17121050152692
"high1814",51,0.146353197214364
"high1815",28,0.291627383631446
"high1816",27,0.260826425527279
"high1817",49,0.231331621335453
"high1818",28,0.291627383631446
"high1819",47,0.17121050152692
"high182",16,1
"high1820",54,-0.2502917
"high1821",49,0.231331621335453
"high1822",56,-0.280333082581458
"high1823",56,-0.280333082581458
"high1824",26,0.216588097389286
"high1825",46,0.197006069193618
"high1826",50,0.251199875828373
"high1827",56,-0.280333082581458
"high1828",25,-0.279808785174019
"high1829",49,0.231331621335453
"high183",4,2.1
"high1830",56,-0.280333082581458
"high1831",56,-0.280333082581458
"high1832",26,0.216588097389286
"high1833",28,0.291627383631446
"high1834",55,0.687319715863923
"high1835",53,0.17121050152692
"high1836",46,0.197006069193618
"high1837",49,0.231331621335453
"high1838",45,0.146353197214364
"high1839",49,0.231331621335453
"high184",14,61.11
"high1840",28,0.291627383631446
"high1841",28,0.291627383631446
"high1842",46,0.197006069193618
"high1843",46,0.197006069193618
"high1844",51,0.146353197214364
"high1845",52,0.197006069193618
"high1846",55,0.687319715863923
"high1847",47,0.17121050152692
"high1848",52,0.197006069193618
"high1849",48,0.220975439343995
"high185",10,9.134
"high1850",45,0.146353197214364
"high1851",54,-0.2502917
"high1852",49,0.231331621335453
"high1853",48,0.220975439343995
"high1854",25,-0.279808785174019
"high1855",48,0.220975439343995
"high1856",46,0.197006069193618
"high1857",55,0.687319715863923
"high1858",48,0.220975439343995
"high1859",50,0.251199875828373
"high186",1,0.2
"high1860",46,0.197006069193618
"high1861",52,0.197006069193618
"high1862",45,0.146353197214364
"high1863",47,0.17121050152692
"high1864",55,0.687319715863923
"high1865",50,0.251199875828373
"high1866",54,-0.2502917
"high1867",53,0.17121050152692
"high1868",26,0.216588097389286
"high1869",47,0.17121050152692
"high187",2,0.8
"high1870",52,0.197006069193618
"high1871",45,0.146353197214364
"high1872",52,0.197006069193618
"high1873",25,-0.279808785174019
"high1874",54,-0.2502917
"high1875",28,0.291627383631446
"high1876",51,0.146353197214364
"high1877",56,-0.280333082581458
"high1878",53,0.17121050152692
"high1879",28,0.291627383631446
"high188",14,61.11
"high1880",28,0.291627383631446
"high1881",55,0.687319715863923
"high1882",46,0.197006069193618
"high1883",55,0.687319715863923
"high1884",28,0.291627383631446
"high1885",50,0.251199875828373
"high1886",26,0.216588097389286
"high1887",47,0.17121050152692
"high1888",52,0.197006069193618
"high1889",49,0.231331621335453
"high189",15,-0.16058
"high1890",28,0.291627383631446
"high1891",45,0.146353197214364
"high1892",27,0.260826425527279
"high1893",55,0.687319715863923
"high1894",55,0.687319715863923
"high1895",56,-0.280333082581458
"high1896",51,0.146353197214364
"high1897",47,0.17121050152692
"high1898",27,0.260826425527279
"high1899",51,0.146353197214364
"high19",2,0.8
"high190",14,61.11
"high1900",28,0.291627383631446
"high1901",49,0.231331621335453
"high1902",25,-0.279808785174019
"high1903",49,0.231331621335453
"high1904",48,0.220975439343995
"high1905",45,0.146353197214364
"high1906",48,0.220975439343995
"high1907",46,0.197006069193618
"high1908",55,0.687319715863923
"high1909",28,0.291627383631446
"high191",16,1
"high1910",27,0.260826425527279
"high1911",28,0.291627383631446
"high1912",52,0.197006069193618
"high1913",49,0.231331621335453
"high1914",54,-0.2502917
"high1915",27,0.260826425527279
"high1916",28,0.291627383631446
"high1917",45,0.146353197214364
"high1918",26,0.216588097389286
"high1919",53,0.17121050152692
"high192",7,0
"high1920",54,-0.2502917
"high1921",28,0.291627383631446
"high1922",55,0.687319715863923
"high1923",27,0.260826425527279
"high1924",28,0.291627383631446
"high1925",53,0.17121050152692
"high1926",54,-0.2502917
"high1927",53,0.17121050152692
"high1928",47,0.17121050152692
"high1929",48,0.220975439343995
"high193",1,0.2
"high1930",25,-0.279808785174019
"high1931",50,0.251199875828373
"high1932",47,0.17121050152692
"high1933",56,-0.280333082581458
"high1934",25,-0.279808785174019
"high1935",47,0.17121050152692
"high1936",50,0.251199875828373
"high1937",26,0.216588097389286
"high1938",53,0.17121050152692
"high1939",50,0.251199875828373
"high194",14,61.11
"high1940",47,0.17121050152692
"high1941",25,-0.279808785174019
"high1942",52,0.197006069193618
"high1943",51,0.146353197214364
"high1944",47,0.17121050152692
"high1945",27,0.260826425527279
"high1946",25,-0.279808785174019
"high1947",27,0.260826425527279
"high1948",54,-0.2502917
"high1949",54,-0.2502917
"high195",16,1
"high1950",55,0.687319715863923
"high1951",45,0.146353197214364
"high1952",52,0.197006069193618
"high1953",28,0.291627383631446
"high1954",52,0.197006069193618
"high1955",46,0.197006069193618
"high1956",50,0.251199875828373
"high1957",46,0.197006069193618
"high1958",27,0.260826425527279
"high1959",26,0.216588097389286
"high196",2,0.8
"high1960",48,0.220975439343995
"high1961",49,0.231331621335453
"high1962",54,-0.2502917
"high1963",26,0.216588097389286
"high1964",49,0.231331621335453
"high1965",54,-0.2502917
"high1966",27,0.260826425527279
"high1967",46,0.197006069193618
"high1968",49,0.231331621335453
"high1969",56,-0.280333082581458
"high197",16,1
"high1970",55,0.687319715863923
"high1971",56,-0.280333082581458
"high1972",27,0.260826425527279
"high1973",26,0.216588097389286
"high1974",53,0.17121050152692
"high1975",48,0.220975439343995
"high1976",55,0.687319715863923
"high1977",46,0.197006069193618
"high1978",55,0.687319715863923
"high1979",51,0.146353197214364
"high198",2,0.8
"high1980",54,-0.2502917
"high1981",47,0.17121050152692
"high1982",50,0.251199875828373
"high1983",53,0.17121050152692
"high1984",48,0.220975439343995
"high1985",49,0.231331621335453
"high1986",45,0.146353197214364
